  baseline       trough 0.964 (C2 0.765)  u8 0.977 (C2 0.950)  |resid|0-24 0.0529 | 32 FP 20 FN 13 f1 0.9171 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0000
  t8s25          trough 0.846 (C2 0.765)  u8 0.947 (C2 0.950)  |resid|0-24 0.0278 | 32 FP 21 FN 13 f1 0.9161 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0007
  t10s30         trough 0.785 (C2 0.765)  u8 0.903 (C2 0.950)  |resid|0-24 0.0244 | 32 FP 21 FN 13 f1 0.9161 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0007
  t12s35         trough 0.758 (C2 0.765)  u8 0.857 (C2 0.950)  |resid|0-24 0.0295 | 32 FP 21 FN 13 f1 0.9161 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0009
  t8s25_65       trough 0.881 (C2 0.765)  u8 0.951 (C2 0.950)  |resid|0-24 0.0367 | 32 FP 21 FN 13 f1 0.9161 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0008
  t10s30_62      trough 0.853 (C2 0.765)  u8 0.916 (C2 0.950)  |resid|0-24 0.0314 | 32 FP 21 FN 13 f1 0.9164 | 16 FP  0 FN  1 f1 0.9940 | 1024 |d| 0.0009

profiles out from the back edge (C2 last)
   u    baseline     t8s25    t10s30    t12s35  t8s25_65 t10s30_62        C2
    0      0.690     0.684     0.676     0.678     0.683     0.671     0.703
    1      0.885     0.735     0.719     0.720     0.754     0.734     0.822
    2      0.958     0.789     0.728     0.706     0.814     0.793     0.784
    3      0.961     0.834     0.744     0.725     0.866     0.845     0.739
    4      0.966     0.850     0.784     0.763     0.876     0.864     0.728
    5      0.966     0.872     0.819     0.781     0.911     0.874     0.755
    6      0.969     0.885     0.848     0.815     0.938     0.888     0.819
    7      0.965     0.922     0.872     0.842     0.949     0.899     0.929
    8      0.977     0.947     0.903     0.857     0.951     0.916     0.950
    9      0.976     0.959     0.918     0.882     0.973     0.951     0.919
   10      0.968     0.965     0.931     0.899     0.977     0.965     0.967
   11      0.957     0.972     0.948     0.925     0.980     0.972     0.967
   12      0.963     0.973     0.961     0.942     0.974     0.956     0.961
   14      0.975     0.976     0.974     0.970     0.977     0.977     0.955
   16      0.980     0.982     0.981     0.983     0.987     0.985     0.977
   20      0.990     0.991     0.988     0.990     0.993     0.991     0.998
