path	orig_w	orig_h	new_w	new_h	scale
cooldock/shot-3.webp	1920	1080	1600	900	0.8333
cooldock/shot-2.webp	2000	1954	1600	1563	0.8000
cooldock/icon.webp	512	512	512	512	1.0000
cooldock/cover.webp	2400	1260	1600	840	0.6666
cooldock/shot-1.webp	2000	2144	1493	1600	0.7465
orbs/icon.webp	512	512	512	512	1.0000
orbs/cover.webp	1600	900	1600	900	1.0000
mac-4-breakfast/icon.webp	256	256	256	256	1.0000
mac-4-breakfast/cover.webp	2400	1260	1600	840	0.6666
bauhaus-clock/icon.webp	204	204	204	204	1.0000
bauhaus-clock/cover.webp	1200	630	1200	630	1.0000
code-meter/icon.webp	256	256	256	256	1.0000
code-meter/cover.webp	2183	1174	1600	860	0.7329
letterboxx/cover.webp	1200	630	1200	630	1.0000
letterboxx/icon.webp	256	256	256	256	1.0000
letterboxx/shot-3.webp	2880	1800	1600	1000	0.5555
letterboxx/shot-2.webp	2880	1800	1600	1000	0.5555
letterboxx/shot-1.webp	2880	1800	1600	1000	0.5555
letterboxx/shot-5.webp	2880	1800	1600	1000	0.5555
letterboxx/shot-4.webp	2880	1800	1600	1000	0.5555
letterboxx/shot-6.webp	2880	1800	1600	1000	0.5555
minarah/icon.webp	112	114	112	114	1.0000
minarah/cover.webp	1200	680	1200	680	1.0000
glaze/icon.webp	512	512	512	512	1.0000
glaze/cover.webp	2400	1260	1600	840	0.6666
supaste/cover.webp	2400	1260	1600	840	0.6666
supaste/icon.webp	256	256	256	256	1.0000
sessionwatcher/icon.webp	256	256	256	256	1.0000
sessionwatcher/cover.webp	2400	1260	1600	840	0.6666
unfold/icon.webp	256	256	256	256	1.0000
unfold/cover.webp	1200	630	1200	630	1.0000
super-shortcuts/icon.webp	512	512	512	512	1.0000
super-shortcuts/cover.webp	1200	630	1200	630	1.0000
screen-charm/icon.webp	100	100	100	100	1.0000
screen-charm/cover.webp	1200	630	1200	630	1.0000
zonedial/icon.webp	1024	1024	1024	1024	1.0000
zonedial/cover.webp	1536	1024	1536	1024	1.0000
soulver/cover.webp	1200	630	1200	630	1.0000
soulver/icon.webp	1024	1024	1024	1024	1.0000
macusb/shot-3.webp	1100	1580	1100	1580	1.0000
macusb/shot-2.webp	1100	1580	1100	1580	1.0000
macusb/shot-1.webp	1100	1580	1100	1580	1.0000
macusb/shot-5.webp	1100	1580	1100	1580	1.0000
macusb/shot-4.webp	1100	1580	1100	1580	1.0000
macusb/shot-6.webp	1100	1580	1100	1580	1.0000
macusb/cover.webp	1920	1080	1600	900	0.8333
macusb/icon.webp	1024	1024	1024	1024	1.0000
prostir-zvuku/icon.webp	1024	1024	1024	1024	1.0000
prostir-zvuku/cover.webp	2400	1260	1600	840	0.6666
klack/icon.webp	1024	1024	1024	1024	1.0000
klack/cover.webp	2400	1260	1600	840	0.6666
craft/icon.webp	102	102	102	102	1.0000
craft/cover.webp	1200	630	1200	630	1.0000
compresto/icon.webp	850	850	850	850	1.0000
compresto/cover.webp	2174	1714	1600	1261	0.7359
forma/icon.webp	427	427	427	427	1.0000
forma/cover.webp	2400	1260	1600	840	0.6666
creos/icon.webp	512	512	512	512	1.0000
creos/cover.webp	1200	630	1200	630	1.0000
sweeper/icon.webp	512	512	512	512	1.0000
sweeper/cover.webp	2008	1142	1600	910	0.7968
backdrop/icon.webp	204	204	204	204	1.0000
backdrop/cover.webp	1200	630	1200	630	1.0000
mux/icon.webp	522	522	522	522	1.0000
mux/cover.webp	3024	1964	1600	1039	0.5291
mural/icon.webp	1024	1024	1024	1024	1.0000
mural/shot-3.webp	2560	1600	1600	1000	0.6250
mural/shot-2.webp	2304	1440	1600	1000	0.6944
mural/shot-1.webp	2304	1440	1600	1000	0.6944
mural/shot-5.webp	2560	1600	1600	1000	0.6250
mural/shot-4.webp	2432	1520	1600	1000	0.6578
mural/shot-6.webp	2304	1440	1600	1000	0.6944
mural/cover.webp	1200	630	1200	630	1.0000
looq-preview-files-for-mac/icon.webp	256	256	256	256	1.0000
looq-preview-files-for-mac/cover.webp	4800	2520	1600	840	0.3333
liqoria/icon.webp	204	204	204	204	1.0000
liqoria/cover.webp	964	578	964	578	1.0000
cleanshot-x/icon.webp	102	102	102	102	1.0000
cleanshot-x/cover.webp	1200	630	1200	630	1.0000
macwall/icon.webp	192	192	192	192	1.0000
macwall/cover.webp	1200	630	1200	630	1.0000
slashit-app/icon.webp	1200	1200	1200	1200	1.0000
slashit-app/cover.webp	1200	630	1200	630	1.0000
orchard/icon.webp	204	204	204	204	1.0000
orchard/cover.webp	2400	1260	1600	840	0.6666
sero/icon.webp	1024	1024	1024	1024	1.0000
sero/cover.webp	1200	630	1200	630	1.0000
leafy-vocabulary-builder-for-mac/icon.webp	180	180	180	180	1.0000
leafy-vocabulary-builder-for-mac/cover.webp	1200	630	1200	630	1.0000
cursor/icon.webp	204	204	204	204	1.0000
cursor/cover.webp	2401	1260	1600	840	0.6663
tuple/icon.webp	204	204	204	204	1.0000
tuple/cover.webp	1200	630	1200	630	1.0000
mymind/icon.webp	102	102	102	102	1.0000
mymind/cover.webp	1024	538	1024	538	1.0000
voiceos/icon.webp	204	204	204	204	1.0000
voiceos/cover.webp	1200	630	1200	630	1.0000
bartender-6/icon.webp	1024	1024	1024	1024	1.0000
bartender-6/cover.webp	2585	1186	1600	734	0.6189
picmal/icon.webp	256	256	256	256	1.0000
picmal/cover.webp	2400	1260	1600	840	0.6666
textsniper/icon.webp	542	542	542	542	1.0000
textsniper/cover.webp	2400	1260	1600	840	0.6666
shake-it-on/icon.webp	400	400	400	400	1.0000
shake-it-on/shot-3.webp	1080	1350	1080	1350	1.0000
shake-it-on/shot-2.webp	1080	1350	1080	1350	1.0000
